gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
female,group B,bachelor's degree,standard,None,72,72,74
female,group C,some college,standard,Completed,69,90,88
female,group B,master's degree,standard,None,90,95,93
male,group A,associate's degree,free/reduced,None,47,57,44
male,group C,some college,standard,None,76,78,75
female,group B,associate's degree,standard,None,71,83,78
female,group B,some college,standard,Completed,88,95,92
male,group B,some college,free/reduced,None,40,43,39
male,group D,high school,free/reduced,Completed,64,64,67
female,group B,high school,free/reduced,None,38,60,50
male,group C,associate's degree,standard,None,58,54,52
male,group D,associate's degree,standard,None,40,52,43
female,group B,high school,standard,None,65,81,73
male,group A,some college,standard,Completed,78,72,70
female,group A,master's degree,standard,None,50,53,58
female,group C,some high school,standard,None,69,75,78
male,group C,high school,standard,None,88,89,86
female,group B,some high school,free/reduced,None,18,32,28
male,group C,master's degree,free/reduced,Completed,46,42,46
female,group C,associate's degree,free/reduced,None,54,58,61
male,group D,high school,standard,None,66,69,63
female,group B,some college,free/reduced,Completed,65,75,70
male,group D,some college,standard,None,44,54,53
female,group C,some high school,standard,None,69,73,73
male,group D,bachelor's degree,free/reduced,Completed,74,71,80
male,group A,master's degree,free/reduced,None,73,74,72
male,group B,some college,standard,None,69,54,55
female,group C,bachelor's degree,standard,None,67,69,75
male,group C,high school,standard,None,70,70,65
female,group D,master's degree,standard,None,62,70,75
female,group D,some college,standard,None,69,74,74
female,group B,some college,standard,None,63,65,61
female,group E,master's degree,free/reduced,None,56,72,65
male,group D,some college,standard,None,40,42,38
male,group E,some college,standard,None,97,87,82
male,group E,associate's degree,standard,Completed,81,81,79
female,group D,associate's degree,standard,None,74,81,83
female,group D,some high school,free/reduced,None,50,64,59
female,group D,associate's degree,free/reduced,Completed,75,90,88
male,group B,associate's degree,free/reduced,None,57,56,57
male,group C,associate's degree,free/reduced,None,55,61,54
female,group C,associate's degree,standard,None,58,73,68
female,group B,associate's degree,standard,None,53,58,65
male,group B,some college,free/reduced,Completed,59,65,66
female,group E,associate's degree,free/reduced,None,50,56,54
male,group B,associate's degree,standard,None,65,54,57
female,group A,associate's degree,standard,Completed,55,65,62
female,group C,high school,standard,None,66,71,76
female,group D,associate's degree,free/reduced,Completed,57,74,76
male,group C,high school,standard,Completed,82,84,82
male,group E,some college,standard,None,53,55,48
male,group E,associate's degree,free/reduced,Completed,77,69,68
male,group C,some college,standard,None,53,44,42
male,group D,high school,standard,None,88,78,75
female,group C,some high school,free/reduced,Completed,71,84,87
female,group C,high school,free/reduced,None,33,41,43
female,group E,associate's degree,standard,Completed,82,85,86
male,group D,associate's degree,standard,None,52,55,49
male,group D,some college,standard,Completed,58,59,58
female,group C,some high school,free/reduced,None,0,17,10
male,group E,bachelor's degree,free/reduced,Completed,79,74,72
male,group A,some high school,free/reduced,None,39,39,34
male,group A,associate's degree,free/reduced,None,62,61,55
female,group C,associate's degree,standard,None,69,80,71
female,group D,some high school,standard,None,59,58,59
male,group B,some high school,standard,None,67,64,61
male,group D,some high school,free/reduced,None,45,37,37
female,group C,some college,standard,None,60,72,74
male,group B,associate's degree,free/reduced,None,61,58,56
female,group C,associate's degree,standard,None,39,64,57
female,group D,some college,free/reduced,Completed,58,63,73
male,group D,some college,standard,Completed,63,55,63
female,group A,associate's degree,free/reduced,None,41,51,48
male,group C,some high school,free/reduced,None,61,57,56
male,group C,some high school,standard,None,49,49,41
male,group B,associate's degree,free/reduced,None,44,41,38
male,group E,some high school,standard,None,30,26,22
male,group A,bachelor's degree,standard,Completed,80,78,81
female,group D,some high school,standard,Completed,61,74,72
female,group E,master's degree,standard,None,62,68,68
female,group B,associate's degree,standard,None,47,49,50
male,group B,high school,free/reduced,None,49,45,45
male,group A,some college,free/reduced,Completed,50,47,54
male,group E,associate's degree,standard,None,72,64,63
male,group D,high school,free/reduced,None,42,39,34
female,group C,some college,standard,None,73,80,82
female,group C,some college,free/reduced,None,76,83,88
female,group D,associate's degree,standard,None,71,71,74
female,group A,some college,standard,None,58,70,67
female,group D,some high school,standard,None,73,86,82
female,group C,bachelor's degree,standard,None,65,72,74
male,group C,high school,free/reduced,None,27,34,36
male,group C,high school,standard,None,71,79,71
male,group C,associate's degree,free/reduced,Completed,43,45,50
female,group B,some college,standard,None,79,86,92
male,group C,associate's degree,free/reduced,Completed,78,81,82
male,group B,some high school,standard,Completed,65,66,62
female,group E,some college,standard,Completed,63,72,70
female,group D,some college,free/reduced,None,58,67,62
female,group D,bachelor's degree,standard,None,65,67,62
male,group B,some college,standard,None,79,67,67
male,group D,bachelor's degree,standard,Completed,68,74,74
female,group D,associate's degree,standard,None,85,91,89
male,group B,high school,standard,Completed,60,44,47
male,group C,some college,standard,Completed,98,86,90
female,group C,some college,standard,None,58,67,72
female,group D,master's degree,standard,None,87,100,100
male,group E,associate's degree,standard,Completed,66,63,64
female,group B,associate's degree,free/reduced,None,52,76,70
female,group B,some high school,standard,None,70,64,72
female,group D,associate's degree,free/reduced,Completed,77,89,98
male,group C,high school,standard,None,62,55,49
male,group A,associate's degree,standard,None,54,53,47
female,group D,some college,standard,None,51,58,54
female,group E,bachelor's degree,standard,Completed,99,100,100
male,group C,high school,standard,None,84,77,74
female,group B,bachelor's degree,free/reduced,None,75,85,82
female,group D,bachelor's degree,standard,None,78,82,79
female,group D,some high school,standard,None,51,63,61
female,group C,some college,standard,None,55,69,65
female,group C,bachelor's degree,standard,Completed,79,92,89
male,group B,associate's degree,standard,Completed,91,89,92
female,group C,some college,standard,Completed,88,93,93
male,group D,high school,free/reduced,None,63,57,56
male,group E,some college,standard,None,83,80,73
female,group B,high school,standard,None,87,95,86
male,group B,some high school,standard,None,72,68,67
male,group D,some college,standard,Completed,65,77,74
male,group D,master's degree,standard,None,82,82,74
female,group A,bachelor's degree,standard,None,51,49,51
male,group D,master's degree,standard,None,89,84,82
male,group C,some high school,free/reduced,Completed,53,37,40
male,group E,some college,free/reduced,Completed,87,74,70
female,group C,some college,standard,Completed,75,81,84
male,group D,bachelor's degree,free/reduced,Completed,74,79,75
male,group C,bachelor's degree,standard,None,58,55,48
male,group B,some high school,standard,Completed,51,54,41
male,group E,high school,standard,None,70,55,56
female,group C,associate's degree,standard,None,59,66,67
male,group D,some college,standard,Completed,71,61,69
female,group D,some high school,standard,None,76,72,71
female,group C,some college,free/reduced,None,59,62,64
female,group E,some college,free/reduced,Completed,42,55,54
male,group A,high school,standard,None,57,43,47
male,group D,some college,standard,None,88,73,78
female,group C,some college,free/reduced,None,22,39,33
male,group B,some high school,standard,None,88,84,75
male,group C,associate's degree,free/reduced,None,73,68,66
female,group D,bachelor's degree,standard,Completed,68,75,81
male,group E,associate's degree,free/reduced,Completed,100,100,93
male,group A,some high school,standard,Completed,62,67,69
male,group A,bachelor's degree,standard,None,77,67,68
female,group B,associate's degree,standard,Completed,59,70,66
male,group D,bachelor's degree,standard,None,54,49,47
male,group D,some high school,standard,None,62,67,61
female,group C,some college,standard,Completed,70,89,88
female,group E,high school,free/reduced,Completed,66,74,78
male,group B,some college,free/reduced,None,60,60,60
female,group B,associate's degree,standard,Completed,61,86,87
male,group D,associate's degree,free/reduced,None,66,62,64
male,group B,associate's degree,free/reduced,Completed,82,78,74
female,group E,some college,free/reduced,Completed,75,88,85
male,group B,master's degree,free/reduced,None,49,53,52
male,group C,high school,standard,None,52,53,49
female,group E,master's degree,standard,None,81,92,91
female,group C,bachelor's degree,standard,Completed,96,100,100
male,group C,high school,free/reduced,Completed,53,51,51
female,group B,master's degree,free/reduced,Completed,58,76,78
female,group B,high school,standard,Completed,68,83,78
female,group C,some college,free/reduced,Completed,67,75,70
