gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
female,group D,master's degree,standard,None,62,70,75
female,group C,bachelor's degree,free/reduced,Completed,66,83,83
female,group D,some college,free/reduced,None,79,89,86
male,group C,master's degree,free/reduced,None,61,67,66
male,group E,high school,standard,None,73,64,57
male,group B,high school,free/reduced,None,30,24,15
female,group C,bachelor's degree,standard,Completed,96,100,100
female,group C,associate's degree,standard,Completed,57,77,80
male,group D,high school,standard,Completed,68,64,66
female,group C,some high school,free/reduced,None,48,58,52
male,group B,some high school,standard,None,67,64,61
female,group C,some college,free/reduced,None,59,62,64
male,group E,some high school,standard,Completed,74,64,60
female,group C,some high school,standard,None,65,69,76
female,group B,some college,standard,None,62,67,67
male,group C,associate's degree,standard,None,47,37,35
male,group D,associate's degree,standard,None,80,63,63
male,group C,high school,standard,None,68,60,53
female,group D,some college,standard,Completed,79,84,91
male,group D,high school,standard,None,89,87,79
male,group A,some college,standard,None,69,67,69
female,group E,some college,free/reduced,None,53,58,57
female,group C,some college,standard,Completed,64,82,77
male,group C,high school,standard,Completed,82,84,82
male,group B,high school,free/reduced,None,36,29,27
female,group B,master's degree,standard,None,90,95,93
female,group D,master's degree,standard,None,64,63,66
female,group B,bachelor's degree,standard,None,52,65,69
female,group D,some high school,free/reduced,None,67,84,84
male,group C,associate's degree,standard,Completed,51,60,58
male,group D,some college,standard,None,79,73,67
male,group A,high school,standard,None,63,63,62
female,group D,associate's degree,free/reduced,None,52,59,56
male,group A,associate's degree,free/reduced,Completed,40,55,53
male,group D,some college,standard,None,40,42,38
female,group B,some college,standard,None,63,65,61
male,group C,associate's degree,standard,None,46,43,42
female,group C,some high school,free/reduced,Completed,65,76,75
female,group B,some high school,standard,None,62,64,66
male,group B,associate's degree,standard,None,90,78,81
male,group A,associate's degree,free/reduced,None,47,57,44
male,group C,some college,standard,None,59,41,42
female,group B,master's degree,free/reduced,Completed,77,97,94
female,group C,associate's degree,standard,None,52,55,57
male,group E,some college,standard,Completed,99,87,81
female,group B,some high school,standard,None,70,64,72
male,group C,associate's degree,free/reduced,None,64,66,59
male,group A,bachelor's degree,standard,Completed,80,78,81
male,group D,high school,free/reduced,None,42,39,34
male,group E,associate's degree,standard,Completed,97,82,88
male,group A,some college,free/reduced,Completed,50,47,54
female,group B,some high school,standard,Completed,65,82,78
female,group C,master's degree,free/reduced,None,52,65,61
female,group E,associate's degree,standard,None,59,62,69
male,group B,some high school,standard,None,74,63,57
female,group C,some high school,free/reduced,None,43,53,53
female,group B,high school,free/reduced,Completed,67,78,79
male,group E,bachelor's degree,standard,Completed,100,100,100
male,group D,high school,standard,None,72,66,66
female,group B,associate's degree,standard,None,71,83,78
male,group A,some high school,free/reduced,None,55,46,43
female,group C,some college,standard,None,84,87,91
female,group E,some college,standard,Completed,63,72,70
female,group C,bachelor's degree,standard,None,63,75,81
female,group C,some college,free/reduced,Completed,42,66,69
male,group E,associate's degree,free/reduced,Completed,78,74,72
male,group E,some college,standard,None,69,60,54
female,group B,associate's degree,standard,None,80,86,83
male,group B,high school,standard,None,79,60,65
male,group C,associate's degree,standard,Completed,87,100,95
female,group A,associate's degree,free/reduced,None,65,85,76
female,group D,some high school,standard,None,51,63,61
male,group D,master's degree,standard,None,85,84,89
male,group A,some high school,standard,Completed,47,49,49
male,group C,master's degree,free/reduced,None,54,59,50
female,group B,high school,free/reduced,None,38,60,50
male,group C,some high school,free/reduced,Completed,59,69,65
male,group D,high school,free/reduced,None,60,57,51
male,group B,high school,free/reduced,None,49,45,45
female,group C,associate's degree,standard,Completed,52,59,62
female,group C,bachelor's degree,free/reduced,None,44,63,62
female,group E,associate's degree,free/reduced,None,70,84,81
male,group C,associate's degree,standard,None,84,80,80
male,group C,associate's degree,standard,None,76,70,68
male,group C,some college,free/reduced,None,35,28,27
female,group C,associate's degree,standard,Completed,96,96,99
female,group D,some college,standard,None,80,90,89
male,group B,associate's degree,standard,None,81,73,72
male,group D,high school,standard,None,57,50,54
male,group E,high school,standard,None,94,73,71
male,group B,high school,standard,None,82,82,80
male,group D,high school,standard,None,70,70,70
female,group B,associate's degree,standard,Completed,94,87,92
male,group A,bachelor's degree,standard,Completed,75,58,62
female,group C,some college,standard,None,52,58,58
female,group A,high school,free/reduced,Completed,77,88,85
male,group D,some college,free/reduced,None,70,63,58
male,group A,some high school,free/reduced,None,65,59,53
male,group B,some college,free/reduced,None,40,43,39
female,group C,some college,standard,Completed,70,89,88
male,group D,associate's degree,free/reduced,Completed,79,82,80
female,group C,some college,standard,Completed,67,81,79
male,group C,some college,free/reduced,None,68,68,61
female,group D,master's degree,free/reduced,Completed,47,58,67
female,group A,some college,standard,Completed,72,79,82
female,group E,high school,free/reduced,Completed,57,75,73
female,group C,bachelor's degree,standard,None,83,93,95
male,group A,some college,standard,Completed,61,51,52
male,group C,associate's degree,standard,Completed,98,87,90
female,group D,master's degree,free/reduced,Completed,61,71,78
female,group C,bachelor's degree,standard,Completed,92,100,99
female,group C,associate's degree,standard,Completed,68,67,73
female,group E,some high school,standard,None,77,79,80
male,group C,some college,standard,None,66,59,52
male,group B,high school,standard,None,47,46,42
male,group C,some college,free/reduced,None,65,58,49
male,group A,some high school,free/reduced,None,68,72,64
female,group C,some college,standard,Completed,63,78,80
female,group D,high school,free/reduced,None,73,92,84
female,group C,high school,free/reduced,None,42,62,60
female,group E,master's degree,standard,None,62,68,68
female,group D,bachelor's degree,standard,Completed,68,75,81
female,group C,associate's degree,standard,Completed,67,84,81
male,group D,some college,free/reduced,None,49,57,46
female,group C,some college,free/reduced,None,35,44,43
male,group A,high school,standard,None,68,70,66
female,group B,high school,standard,Completed,69,76,74
male,group C,high school,standard,None,70,74,71
female,group E,some high school,standard,Completed,80,85,85
female,group C,some college,standard,Completed,75,81,84
female,group D,some college,standard,None,63,64,67
male,group B,bachelor's degree,standard,None,66,60,57
female,group B,some high school,free/reduced,Completed,74,90,88
female,group C,some high school,standard,Completed,44,51,55
female,group B,bachelor's degree,standard,None,72,72,74
female,group D,master's degree,standard,Completed,77,82,91
male,group D,high school,standard,None,46,34,36
male,group C,high school,standard,Completed,72,67,64
