iter	Passed	Remaining
0	128	128850
1	130	65109
2	132	43902
3	133	33304
4	135	26933
5	136	22663
6	138	19615
7	140	17369
8	141	15597
9	143	14160
10	144	13002
11	146	12037
12	147	11218
13	149	10517
14	150	9910
15	152	9393
16	154	8926
17	156	8520
18	157	8149
19	159	7820
20	161	7527
21	163	7254
22	164	6997
23	166	6764
24	168	6554
25	169	6354
26	171	6173
27	173	6010
28	174	5853
29	176	5707
30	178	5567
31	179	5444
32	181	5327
33	183	5215
34	185	5109
35	186	5004
36	188	4904
37	190	4812
38	191	4727
39	193	4651
40	195	4575
41	197	4500
42	199	4432
43	200	4366
44	202	4300
45	204	4243
46	206	4189
47	208	4132
48	210	4079
49	212	4030
50	213	3976
51	215	3924
52	217	3885
53	219	3842
54	221	3798
55	222	3754
56	224	3716
57	226	3677
58	228	3637
59	229	3600
60	231	3566
61	233	3537
62	235	3508
63	237	3473
64	239	3441
65	240	3407
66	243	3389
67	244	3354
68	246	3323
69	247	3291
70	249	3261
71	250	3231
72	252	3203
73	253	3172
74	254	3142
75	256	3113
76	257	3086
77	258	3057
78	259	3027
79	260	3000
80	262	2972
81	263	2944
82	264	2918
83	265	2893
84	266	2864
85	267	2839
86	267	2811
87	268	2785
88	269	2760
89	270	2735
90	271	2711
91	272	2688
92	273	2666
93	274	2643
94	275	2622
95	276	2603
96	277	2583
97	279	2568
98	280	2550
99	281	2530
100	282	2511
101	282	2488
102	283	2469
103	284	2452
104	285	2434
105	286	2417
106	287	2400
107	288	2383
108	289	2368
109	290	2353
110	292	2339
111	293	2326
112	294	2312
113	295	2297
114	296	2281
115	297	2265
116	298	2250
117	299	2236
118	299	2220
119	300	2206
120	301	2193
121	303	2180
122	303	2164
123	304	2153
124	305	2139
125	306	2126
126	307	2114
127	308	2100
128	309	2088
129	310	2078
130	311	2066
131	312	2055
132	313	2044
133	314	2033
134	316	2024
135	317	2013
136	318	2003
137	318	1992
138	319	1980
139	320	1970
140	321	1959
141	322	1950
142	323	1940
143	324	1930
144	325	1921
145	327	1913
146	328	1904
147	329	1896
148	330	1889
149	331	1879
150	332	1870
151	333	1861
152	334	1852
153	335	1845
154	336	1836
155	337	1827
156	338	1819
157	340	1812
158	341	1804
159	342	1799
160	343	1791
161	344	1783
162	345	1775
163	346	1767
164	347	1759
165	348	1751
166	349	1744
167	350	1737
168	351	1730
169	353	1723
170	354	1720
171	355	1713
172	356	1706
173	357	1698
174	358	1691
175	359	1684
176	360	1676
177	361	1669
178	362	1663
179	363	1656
180	364	1647
181	365	1641
182	366	1635
183	367	1629
184	368	1622
185	369	1616
186	370	1609
187	371	1602
188	371	1596
189	372	1589
190	373	1583
191	374	1577
192	375	1571
193	376	1565
194	378	1560
195	379	1555
196	380	1550
197	381	1545
198	382	1538
199	383	1532
200	384	1526
201	385	1521
202	386	1515
203	387	1510
204	388	1504
205	389	1499
206	389	1494
207	391	1489
208	392	1484
209	393	1479
210	394	1475
211	395	1469
212	396	1464
213	397	1460
214	398	1455
215	399	1450
216	400	1445
217	401	1440
218	402	1435
219	404	1432
220	405	1428
221	406	1424
222	407	1419
223	408	1415
224	409	1410
225	410	1407
226	412	1403
227	413	1399
228	414	1395
229	415	1391
230	417	1390
231	418	1386
232	419	1382
233	420	1377
234	421	1373
235	422	1368
236	423	1363
237	424	1359
238	425	1355
239	426	1350
240	427	1346
241	428	1342
242	430	1340
243	431	1337
244	432	1333
245	433	1329
246	434	1325
247	435	1320
248	436	1316
249	437	1313
250	438	1309
251	439	1305
252	440	1301
253	442	1299
254	443	1295
255	444	1292
256	445	1288
257	447	1285
258	448	1281
259	448	1277
260	450	1274
261	450	1270
262	452	1266
263	453	1263
264	454	1259
265	455	1256
266	456	1252
267	457	1249
268	458	1246
269	459	1242
270	460	1239
271	461	1236
272	462	1232
273	463	1228
274	464	1225
275	465	1221
276	466	1218
277	467	1215
278	469	1212
279	488	1257
280	490	1254
281	491	1250
282	492	1248
283	493	1245
284	494	1241
285	495	1238
286	497	1234
287	498	1232
288	499	1229
289	500	1225
290	501	1222
291	503	1221
292	505	1219
293	506	1215
294	507	1213
295	508	1210
296	509	1206
297	510	1203
298	512	1200
299	513	1197
300	514	1194
301	515	1191
302	516	1188
303	518	1186
304	519	1183
305	520	1180
306	536	1211
307	538	1209
308	539	1207
309	541	1205
310	543	1203
311	544	1201
312	546	1199
313	548	1198
314	549	1195
315	551	1193
316	553	1192
317	555	1191
318	557	1189
319	558	1187
320	560	1186
321	562	1183
322	563	1180
323	565	1179
324	566	1176
325	567	1174
326	568	1171
327	570	1168
328	571	1165
329	572	1162
330	573	1159
331	574	1156
332	575	1153
333	576	1150
334	578	1147
335	579	1144
336	580	1141
337	581	1138
338	582	1135
339	583	1131
340	583	1128
341	584	1125
342	586	1123
343	587	1120
344	588	1117
345	589	1114
346	590	1111
347	591	1108
348	592	1105
349	593	1102
350	594	1099
351	595	1095
352	596	1092
353	597	1089
354	598	1086
355	599	1084
356	600	1081
357	601	1079
358	603	1077
359	604	1074
360	605	1071
361	606	1068
362	607	1065
363	607	1062
364	608	1059
365	609	1056
366	610	1053
367	611	1050
368	612	1048
369	613	1045
370	615	1043
371	616	1040
372	617	1037
373	618	1035
374	619	1032
375	620	1029
376	621	1026
377	622	1023
378	622	1020
379	624	1018
380	625	1016
381	626	1013
382	627	1010
383	628	1008
384	629	1005
385	630	1003
386	631	1000
387	632	997
388	633	994
389	634	991
390	634	989
391	635	986
392	637	983
393	638	981
394	639	978
395	640	976
396	641	974
397	642	971
398	643	968
399	644	966
400	645	963
401	646	961
402	647	958
403	648	956
404	649	953
405	650	951
406	651	948
407	652	946
408	653	943
409	654	941
410	655	939
411	656	936
412	657	934
413	658	931
414	659	929
415	659	926
416	660	923
417	661	921
418	662	918
419	663	916
420	664	914
421	666	912
422	667	910
423	668	908
424	669	906
425	670	903
426	671	901
427	672	899
428	673	896
429	674	894
430	675	891
431	676	890
432	677	887
433	679	885
434	680	884
435	681	881
436	682	879
437	683	877
438	684	874
439	685	872
440	686	869
441	687	867
442	688	865
443	689	863
444	690	861
445	691	859
446	692	857
447	694	855
448	695	853
449	696	850
450	697	848
451	698	846
452	699	844
453	699	841
454	700	839
455	701	837
456	702	835
457	703	832
458	705	831
459	706	828
460	707	826
461	708	824
462	709	822
463	710	820
464	711	818
465	711	815
466	712	813
467	714	811
468	715	809
469	716	808
470	718	806
471	719	804
472	720	803
473	722	801
474	723	799
475	724	797
476	725	795
477	726	792
478	727	791
479	728	789
480	729	787
481	731	785
482	732	784
483	733	782
484	734	779
485	735	778
486	736	776
487	738	774
488	739	773
489	741	771
490	742	769
491	744	768
492	745	766
493	746	764
494	747	763
495	748	760
496	750	759
497	751	757
498	752	755
499	753	753
500	754	751
501	756	750
502	758	749
503	759	747
504	760	745
505	762	744
506	763	742
507	764	739
508	765	738
509	766	736
510	767	734
511	768	732
512	770	731
513	771	729
514	772	727
515	773	725
516	774	723
517	775	721
518	776	719
519	777	717
520	778	715
521	779	714
522	780	712
523	781	710
524	783	708
525	784	706
526	785	704
527	786	702
528	787	701
529	788	699
530	789	697
531	790	695
532	792	694
533	793	692
534	794	690
535	796	689
536	797	687
537	798	685
538	799	683
539	800	681
540	801	679
541	802	677
542	803	676
543	804	674
544	805	672
545	806	670
546	808	669
547	810	668
548	811	666
549	812	664
550	813	662
551	814	660
552	815	659
553	816	657
554	817	655
555	819	654
556	819	652
557	821	650
558	823	649
559	824	647
560	825	646
561	826	644
562	827	642
563	828	640
564	829	638
565	830	636
566	831	635
567	832	633
568	833	631
569	834	629
570	836	628
571	837	626
572	837	624
573	839	622
574	840	621
575	841	619
576	842	617
577	843	616
578	844	614
579	846	612
580	847	611
581	848	609
582	849	607
583	850	606
584	851	604
585	852	602
586	853	600
587	854	599
588	856	597
589	857	595
590	858	594
591	859	592
592	860	590
593	861	589
594	862	587
595	863	585
596	864	583
597	865	581
598	866	580
599	867	578
600	868	576
601	869	574
602	870	573
603	871	571
604	872	569
605	873	568
606	875	566
607	875	564
608	876	562
609	877	561
610	878	559
611	879	557
612	880	555
613	881	554
614	883	553
615	884	551
616	885	549
617	886	548
618	887	546
619	889	544
620	890	543
621	891	541
622	892	539
623	893	538
624	894	536
625	895	535
626	896	533
627	897	531
628	899	530
629	900	528
630	901	527
631	902	525
632	903	523
633	904	522
634	905	520
635	906	518
636	907	517
637	909	515
638	910	514
639	912	513
640	913	511
641	914	509
642	915	508
643	916	506
644	917	504
645	918	503
646	919	501
647	920	499
648	921	498
649	922	496
650	923	495
651	924	493
652	926	492
653	927	490
654	927	488
655	928	487
656	929	485
657	930	483
658	931	482
659	932	480
660	933	478
661	934	477
662	935	475
663	937	474
664	938	472
665	939	471
666	940	469
667	941	467
668	942	466
669	942	464
670	943	462
671	944	461
672	945	459
673	946	458
674	947	456
675	948	454
676	950	453
677	951	451
678	952	450
679	953	448
680	954	446
681	954	445
682	955	443
683	956	441
684	957	440
685	958	438
686	960	437
687	961	435
688	963	434
689	964	433
690	965	431
691	966	430
692	967	428
693	968	427
694	969	425
695	970	424
696	972	422
697	973	421
698	974	419
699	975	418
700	977	416
701	984	417
702	987	417
703	988	415
704	990	414
705	991	412
706	993	411
707	994	410
708	995	408
709	996	406
710	997	405
711	999	404
712	1000	402
713	1001	401
714	1002	399
715	1003	398
716	1005	396
717	1006	395
718	1008	394
719	1009	392
720	1011	391
721	1012	389
722	1013	388
723	1014	386
724	1016	385
725	1017	383
726	1018	382
727	1019	380
728	1020	379
729	1021	377
730	1022	376
731	1023	374
732	1024	373
733	1025	371
734	1026	370
735	1027	368
736	1028	366
737	1029	365
738	1029	363
739	1031	362
740	1032	360
741	1033	359
742	1034	357
743	1035	356
744	1036	354
745	1037	353
746	1038	351
747	1039	350
748	1040	348
749	1041	347
750	1042	345
751	1043	344
752	1044	342
753	1045	341
754	1046	339
755	1047	338
756	1049	336
757	1050	335
758	1051	333
759	1052	332
760	1053	330
761	1054	329
762	1055	327
763	1056	326
764	1057	324
765	1058	323
766	1059	321
767	1060	320
768	1061	318
769	1062	317
770	1063	316
771	1064	314
772	1065	312
773	1066	311
774	1067	309
775	1068	308
776	1069	306
777	1070	305
778	1071	303
779	1072	302
780	1073	301
781	1074	299
782	1075	298
783	1076	296
784	1077	295
785	1078	293
786	1079	292
787	1080	290
788	1081	289
789	1082	287
790	1083	286
791	1084	284
792	1085	283
793	1086	281
794	1087	280
795	1088	279
796	1089	277
797	1090	276
798	1091	274
799	1092	273
800	1093	271
801	1094	270
802	1095	268
803	1096	267
804	1097	265
805	1099	264
806	1100	263
807	1101	261
808	1102	260
809	1103	258
810	1104	257
811	1105	255
812	1106	254
813	1107	253
814	1108	251
815	1109	250
816	1110	248
817	1111	247
818	1112	245
819	1113	244
820	1114	242
821	1115	241
822	1116	240
823	1117	238
824	1117	237
825	1118	235
826	1119	234
827	1120	232
828	1122	231
829	1123	230
830	1124	228
831	1125	227
832	1126	225
833	1127	224
834	1128	222
835	1128	221
836	1129	220
837	1130	218
838	1132	217
839	1133	215
840	1134	214
841	1135	213
842	1137	211
843	1138	210
844	1139	209
845	1140	207
846	1141	206
847	1142	204
848	1143	203
849	1144	201
850	1145	200
851	1146	199
852	1147	197
853	1148	196
854	1149	194
855	1151	193
856	1152	192
857	1153	190
858	1153	189
859	1154	187
860	1155	186
861	1156	185
862	1157	183
863	1158	182
864	1159	180
865	1160	179
866	1161	178
867	1163	176
868	1164	175
869	1165	174
870	1166	172
871	1167	171
872	1168	170
873	1169	168
874	1170	167
875	1171	165
876	1172	164
877	1173	163
878	1174	161
879	1175	160
880	1177	159
881	1178	157
882	1179	156
883	1179	154
884	1180	153
885	1181	152
886	1182	150
887	1183	149
888	1184	147
889	1185	146
890	1186	145
891	1187	143
892	1188	142
893	1189	141
894	1190	139
895	1191	138
896	1192	136
897	1193	135
898	1194	134
899	1195	132
900	1196	131
901	1197	130
902	1198	128
903	1199	127
904	1200	126
905	1201	124
906	1202	123
907	1203	121
908	1204	120
909	1205	119
910	1206	117
911	1207	116
912	1208	115
913	1209	113
914	1210	112
915	1212	111
916	1213	109
917	1214	108
918	1215	107
919	1216	105
920	1217	104
921	1218	103
922	1219	101
923	1220	100
924	1221	99
925	1222	97
926	1223	96
927	1224	94
928	1225	93
929	1226	92
930	1227	90
931	1228	89
932	1229	88
933	1230	86
934	1230	85
935	1231	84
936	1232	82
937	1233	81
938	1235	80
939	1236	78
940	1237	77
941	1238	76
